FirstName;LastName;Username;Department;Title
Jean;Dupont;jdupont;IT;IT Technician
Marie;Martin;mmartin;HR;HR Assistant
Paul;Bernard;pbernard;Finance;Financial Analyst
Sophie;Robert;srobert;Marketing;Marketing Specialist
Thomas;Petit;tpetit;Sales;Sales Representative
Julie;Durand;jdurand;IT;System Administrator
Nicolas;Leroy;nleroy;IT;Network Administrator
Camille;Moreau;cmoreau;HR;HR Specialist
Antoine;Simon;asimon;Finance;Accountant
Laura;Michel;lmichel;Marketing;Marketing Assistant
Lucas;Lefevre;llefevre;Sales;Sales Representative
Emma;Roux;eroux;IT;Support Technician
Hugo;David;hdavid;IT;Security Administrator
Chloe;Bertrand;cbertrand;HR;HR Assistant
Maxime;Fournier;mfournier;Finance;Financial Analyst
Sarah;Girard;sgirard;Marketing;Marketing Specialist
Alexandre;Bonnet;abonnet;Sales;Sales Representative
Elise;Lambert;elambert;IT;Cloud Administrator
Julien;Fontaine;jfontaine;IT;Helpdesk Technician
Clara;Chevalier;cchevalier;Sales;Sales Assistant
